"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 08 14:33:01 CST 2022","Fri Jul 08 14:33:02 CST 2022","151","test_case","test_integral","TestIntegralMge","","","test_projectTree","获取登录账号的可填报积分项目树"
"passed","Fri Jul 08 14:33:02 CST 2022","Fri Jul 08 14:33:02 CST 2022","28","test_case","test_integral","TestIntegralMge","","","test_addIntegral",""
"passed","Fri Jul 08 14:33:01 CST 2022","Fri Jul 08 14:33:01 CST 2022","98","test_case","test_integral","TestIntegralMge","","","test_integral_management"," 获取积分管理 "
"passed","Fri Jul 08 10:32:15 CST 2022","Fri Jul 08 10:32:15 CST 2022","38","test_case","test","","","","test_addIntegral",""
